ggml_cuda_init: GGML_CUDA_FORCE_MMQ:    no
ggml_cuda_init: GGML_CUDA_FORCE_CUBLAS: no
ggml_cuda_init: found 8 CUDA devices:
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 1: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 2: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 3: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 4: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 5: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 6: NVIDIA L40S, compute capability 8.9, VMM: yes
  Device 7: NVIDIA L40S, compute capability 8.9, VMM: yes

Computing statistics for /shared/user68/workspace/bobchenyx/llama.cpp/imatrix.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
   44	attn_output         	     41.72	  0.0004	     0.5926	  0.01	  0.02	  100.00%	  4096	   10.8692	 90.58%	      6.74%	  0.4548
   45	attn_output         	     35.43	  0.0020	     0.3310	  0.01	  0.02	  100.00%	  4096	   11.4059	 95.05%	      1.83%	  0.2578
   39	attn_output         	     23.75	  0.0006	     0.1094	  0.01	  0.01	  100.00%	  4096	   11.3460	 94.55%	     10.23%	  0.3917
   37	attn_output         	     22.30	  0.0002	     0.9080	  0.01	  0.02	  100.00%	  4096	   10.8681	 90.57%	      3.76%	  0.1305
   36	attn_output         	     16.59	  0.0003	     0.3006	  0.00	  0.01	  100.00%	  4096	   10.9036	 90.86%	      7.45%	  0.1997
   33	attn_output         	     13.20	  0.0003	     0.0932	  0.00	  0.01	  100.00%	  4096	   11.1105	 92.59%	      7.32%	  0.2510
   35	attn_output         	     12.98	  0.0000	     0.1021	  0.00	  0.00	  100.00%	  4096	   11.1310	 92.76%	      8.64%	  0.3496
   34	attn_output         	     11.59	  0.0000	     0.0749	  0.00	  0.00	   98.56%	  4096	   11.1281	 92.73%	      7.18%	  0.2540
   26	attn_output         	      9.79	  0.0001	     0.0404	  0.00	  0.00	  100.00%	  4096	   11.1137	 92.61%	     11.18%	  0.2121
   28	attn_output         	      8.85	  0.0003	     0.0593	  0.00	  0.00	  100.00%	  4096	   11.3586	 94.66%	      8.42%	  0.4498
   32	attn_output         	      8.81	  0.0002	     0.0979	  0.00	  0.00	  100.00%	  4096	   11.1756	 93.13%	      5.03%	  0.2307
   30	attn_output         	      8.32	  0.0000	     0.1873	  0.00	  0.00	   98.39%	  4096	   10.8842	 90.70%	      5.20%	  0.1518
   29	attn_output         	      7.44	  0.0000	     0.0971	  0.00	  0.00	   97.80%	  4096	   10.8984	 90.82%	      6.74%	  0.1962
   31	attn_output         	      7.43	  0.0002	     0.0745	  0.00	  0.00	  100.00%	  4096	   11.1944	 93.29%	      8.03%	  0.1690
   27	attn_output         	      6.93	  0.0002	     0.0277	  0.00	  0.00	  100.00%	  4096	   11.4104	 95.09%	      9.67%	  0.4799
   25	attn_output         	      6.91	  0.0001	     0.2325	  0.00	  0.00	  100.00%	  4096	   10.8948	 90.79%	      5.52%	  0.2164
   24	attn_output         	      5.84	  0.0001	     0.0349	  0.00	  0.00	  100.00%	  4096	   11.2569	 93.81%	     10.38%	  0.2954
   21	attn_output         	      5.43	  0.0001	     0.0426	  0.00	  0.00	  100.00%	  4096	   11.0828	 92.36%	      7.89%	  0.1895
   22	attn_output         	      5.34	  0.0000	     0.0449	  0.00	  0.00	   97.19%	  4096	   11.0477	 92.06%	      5.76%	  0.2091
   23	attn_output         	      5.29	  0.0000	     0.0697	  0.00	  0.00	   98.39%	  4096	   11.0989	 92.49%	      8.11%	  0.2821
   20	attn_output         	      3.73	  0.0001	     0.0556	  0.00	  0.00	  100.00%	  4096	   11.0027	 91.69%	      3.81%	  0.1848
   19	attn_output         	      3.46	  0.0001	     0.0237	  0.00	  0.00	  100.00%	  4096	   11.1151	 92.63%	      9.74%	  0.1592
   18	attn_output         	      3.32	  0.0000	     0.0489	  0.00	  0.00	   99.76%	  4096	   10.7496	 89.58%	     10.55%	  0.1392
   14	attn_output         	      3.03	  0.0000	     0.0126	  0.00	  0.00	   99.12%	  4096	   10.7744	 89.79%	     10.18%	  0.3570
   17	attn_output         	      2.36	  0.0000	     0.0280	  0.00	  0.00	   98.17%	  4096	   10.8829	 90.69%	      8.57%	  0.2654
   16	attn_output         	      2.34	  0.0001	     0.0142	  0.00	  0.00	  100.00%	  4096	   11.3591	 94.66%	      9.55%	  0.4744
   13	attn_output         	      1.94	  0.0000	     0.0197	  0.00	  0.00	  100.00%	  4096	   10.7694	 89.74%	     10.47%	  0.1864
   15	attn_output         	      1.78	  0.0000	     0.0079	  0.00	  0.00	  100.00%	  4096	   11.3525	 94.60%	     10.33%	  0.4593
   12	attn_output         	      1.33	  0.0000	     0.0062	  0.00	  0.00	  100.00%	  4096	   11.2214	 93.51%	      8.64%	  0.3099
   11	attn_output         	      1.28	  0.0000	     0.0154	  0.00	  0.00	   98.41%	  4096	   11.1986	 93.32%	      8.54%	  0.2502
    9	attn_output         	      1.25	  0.0000	     0.0101	  0.00	  0.00	  100.00%	  4096	   11.2485	 93.74%	      7.23%	  0.2015
   10	attn_output         	      1.25	  0.0000	     0.0177	  0.00	  0.00	   97.12%	  4096	   10.9509	 91.26%	      7.06%	  0.2601
    8	attn_output         	      1.16	  0.0000	     0.0250	  0.00	  0.00	  100.00%	  4096	   10.8000	 90.00%	      4.79%	  0.2010
    6	attn_output         	      1.06	  0.0000	     0.0109	  0.00	  0.00	   99.37%	  4096	   11.0089	 91.74%	     13.28%	  0.4170
    3	attn_output         	      0.79	  0.0000	     0.0056	  0.00	  0.00	   93.36%	  4096	   10.8734	 90.61%	      4.69%	  0.2916
    7	attn_output         	      0.78	  0.0000	     0.0049	  0.00	  0.00	   98.68%	  4096	   11.2399	 93.67%	     14.01%	  0.2161
    5	attn_output         	      0.56	  0.0000	     0.0043	  0.00	  0.00	   95.83%	  4096	   11.1217	 92.68%	      6.96%	  0.1966
    4	attn_output         	      0.53	  0.0000	     0.0054	  0.00	  0.00	   87.60%	  4096	   10.6956	 89.13%	      7.98%	  0.1853
    2	attn_output         	      0.25	  0.0000	     0.0059	  0.00	  0.00	   87.92%	  4096	   10.7289	 89.41%	      1.90%	  0.1359
    1	attn_output         	      0.19	  0.0000	     0.0019	  0.00	  0.00	   84.67%	  4096	   11.0064	 91.72%	      4.79%	  0.1009
    0	attn_output         	      0.08	  0.0000	     0.0035	  0.00	  0.00	   29.54%	  4096	    9.5393	 79.49%	      4.27%	  0.0000
   47	attn_q              	   1937.69	  0.0935	   321.5535	  0.95	  8.82	  100.00%	  2048	    7.0144	 63.77%	      1.37%	  0.9242
   45	attn_q              	   1406.56	  0.0292	    65.8955	  0.69	  3.48	  100.00%	  2048	    7.7614	 70.56%	      2.98%	  0.9139
   46	attn_q              	   1380.78	  0.0745	   116.2502	  0.67	  4.04	  100.00%	  2048	    7.8364	 71.24%	      2.20%	  0.8587
   44	attn_q              	    634.35	  0.0243	    30.2047	  0.31	  1.67	  100.00%	  2048	    7.7237	 70.22%	      2.39%	  0.9696
   42	attn_q              	    499.00	  0.0232	    38.6371	  0.24	  1.48	  100.00%	  2048	    7.6889	 69.90%	      2.05%	  0.9734
   43	attn_q              	    479.24	  0.0000	    25.4982	  0.23	  1.23	   99.95%	  2048	    8.0542	 73.22%	      2.15%	  0.8120
   41	attn_q              	    328.89	  0.0156	    21.1983	  0.16	  1.02	  100.00%	  2048	    7.5290	 68.45%	      1.86%	  0.8939
   40	attn_q              	    205.32	  0.0100	    10.1927	  0.10	  0.58	  100.00%	  2048	    7.7917	 70.83%	      2.15%	  0.9359
   38	attn_q              	    137.10	  0.0013	     9.1428	  0.07	  0.40	  100.00%	  2048	    7.9243	 72.04%	      1.86%	  0.9904
   39	attn_q              	    119.63	  0.0000	     7.7893	  0.06	  0.34	   99.95%	  2048	    8.0890	 73.54%	      1.95%	  0.9914
   37	attn_q              	     70.23	  0.0009	     4.7677	  0.03	  0.21	  100.00%	  2048	    7.7095	 70.09%	      1.95%	  0.9791
   36	attn_q              	     48.52	  0.0003	     3.9455	  0.02	  0.15	  100.00%	  2048	    7.9437	 72.22%	      1.95%	  0.9882
   35	attn_q              	     39.79	  0.0004	     3.1173	  0.02	  0.13	  100.00%	  2048	    7.6370	 69.43%	      1.81%	  0.9645
   29	attn_q              	     32.91	  0.0004	     5.9845	  0.02	  0.16	  100.00%	  2048	    7.0862	 64.42%	      1.46%	  0.5853
   26	attn_q              	     30.65	  0.0007	     3.5124	  0.01	  0.11	  100.00%	  2048	    7.9115	 71.92%	      1.56%	  0.9843
   33	attn_q              	     29.32	  0.0007	     2.7327	  0.01	  0.09	  100.00%	  2048	    7.8060	 70.96%	      2.00%	  0.9900
   34	attn_q              	     27.77	  0.0000	     2.8255	  0.01	  0.10	   99.95%	  2048	    7.7059	 70.05%	      1.86%	  0.9827
   28	attn_q              	     23.66	  0.0008	     2.1906	  0.01	  0.07	  100.00%	  2048	    8.0252	 72.96%	      1.86%	  0.9730
   27	attn_q              	     23.64	  0.0000	     2.7748	  0.01	  0.08	   99.95%	  2048	    8.0247	 72.95%	      1.66%	  0.9945
   32	attn_q              	     22.16	  0.0007	     2.1064	  0.01	  0.07	  100.00%	  2048	    8.1282	 73.89%	      1.76%	  0.9779
   30	attn_q              	     21.37	  0.0000	     2.2145	  0.01	  0.07	  100.00%	  2048	    8.0389	 73.08%	      1.76%	  0.5486
   25	attn_q              	     18.45	  0.0001	     1.8436	  0.01	  0.07	  100.00%	  2048	    7.8881	 71.71%	      1.51%	  0.9961
   31	attn_q              	     16.71	  0.0002	     1.6511	  0.01	  0.05	  100.00%	  2048	    8.4024	 76.39%	      1.76%	  0.9891
   24	attn_q              	     13.98	  0.0000	     1.4307	  0.01	  0.05	  100.00%	  2048	    7.9195	 72.00%	      1.37%	  0.9816
   23	attn_q              	     12.69	  0.0001	     1.2557	  0.01	  0.05	  100.00%	  2048	    7.6975	 69.98%	      1.27%	  0.9893
   21	attn_q              	     10.80	  0.0001	     1.0374	  0.01	  0.04	  100.00%	  2048	    7.6782	 69.80%	      1.46%	  0.9962
   22	attn_q              	     10.79	  0.0000	     1.0879	  0.01	  0.04	   99.95%	  2048	    7.6999	 70.00%	      1.17%	  0.9896
   14	attn_q              	     10.15	  0.0002	     0.8655	  0.00	  0.03	  100.00%	  2048	    8.3279	 75.71%	      1.42%	  0.9813
   17	attn_q              	      9.28	  0.0001	     0.8341	  0.00	  0.04	  100.00%	  2048	    7.3342	 66.67%	      1.27%	  0.9358
   18	attn_q              	      8.60	  0.0000	     0.8648	  0.00	  0.03	   99.95%	  2048	    7.9485	 72.26%	      1.17%	  0.8719
   20	attn_q              	      7.51	  0.0002	     0.7046	  0.00	  0.03	  100.00%	  2048	    8.1091	 73.72%	      1.51%	  0.9856
   16	attn_q              	      6.53	  0.0002	     0.4910	  0.00	  0.02	  100.00%	  2048	    8.3067	 75.52%	      1.42%	  0.9747
   19	attn_q              	      6.43	  0.0000	     0.5407	  0.00	  0.02	  100.00%	  2048	    8.4928	 77.21%	      1.32%	  0.9876
   15	attn_q              	      5.55	  0.0000	     0.4057	  0.00	  0.02	   99.95%	  2048	    8.4554	 76.87%	      1.37%	  0.9821
    8	attn_q              	      5.05	  0.0001	     0.6406	  0.00	  0.02	  100.00%	  2048	    8.0400	 73.09%	      1.51%	  0.9615
   13	attn_q              	      4.51	  0.0000	     0.3954	  0.00	  0.01	   99.95%	  2048	    8.1358	 73.96%	      1.22%	  0.9860
   12	attn_q              	      3.77	  0.0000	     0.3048	  0.00	  0.01	  100.00%	  2048	    8.3579	 75.98%	      1.27%	  0.9841
    3	attn_q              	      3.57	  0.0000	     0.7010	  0.00	  0.02	  100.00%	  2048	    7.2166	 65.61%	      1.07%	  0.7733
   11	attn_q              	      3.02	  0.0000	     0.3034	  0.00	  0.01	  100.00%	  2048	    7.8123	 71.02%	      1.17%	  0.9767
    9	attn_q              	      2.97	  0.0001	     0.2776	  0.00	  0.01	  100.00%	  2048	    8.0784	 73.44%	      1.37%	  0.9444
    6	attn_q              	      2.96	  0.0000	     0.3175	  0.00	  0.01	   99.95%	  2048	    8.4361	 76.69%	      1.07%	  0.9756
   10	attn_q              	      2.67	  0.0000	     0.2438	  0.00	  0.01	   99.95%	  2048	    8.0587	 73.26%	      1.22%	  0.9611
    7	attn_q              	      2.01	  0.0000	     0.1811	  0.00	  0.01	  100.00%	  2048	    8.8199	 80.18%	      1.46%	  0.9669
    4	attn_q              	      2.00	  0.0000	     0.3291	  0.00	  0.01	   99.95%	  2048	    7.5789	 68.90%	      0.88%	  0.8971
    5	attn_q              	      1.79	  0.0001	     0.2688	  0.00	  0.01	  100.00%	  2048	    7.9279	 72.07%	      1.17%	  0.9556
    2	attn_q              	      0.55	  0.0000	     0.0926	  0.00	  0.00	   99.51%	  2048	    7.9502	 72.27%	      0.88%	  0.5869
    1	attn_q              	      0.32	  0.0000	     0.0493	  0.00	  0.00	   76.12%	  2048	    7.7386	 70.35%	      0.68%	  0.3151
    0	attn_q              	      0.15	  0.0000	     0.0116	  0.00	  0.00	   18.12%	  2048	    7.3403	 66.73%	      2.83%	  0.0000
   47	attn_v              	   1937.69	  0.0935	   321.5535	  0.95	  8.82	  100.00%	  2048	    7.0144	 63.77%	      1.37%	  0.9242
   45	attn_v              	   1406.56	  0.0292	    65.8955	  0.69	  3.48	  100.00%	  2048	    7.7614	 70.56%	      2.98%	  0.9139
   46	attn_v              	   1380.78	  0.0745	   116.2502	  0.67	  4.04	  100.00%	  2048	    7.8364	 71.24%	      2.20%	  0.8587
   44	attn_v              	    634.35	  0.0243	    30.2047	  0.31	  1.67	  100.00%	  2048	    7.7237	 70.22%	      2.39%	  0.9696
